"Brand","Part Number","Model","Category","Price health - Low","Price health - High","Your price","MAP","National Average"
"Rovelo","1600425K","Ridgetrak R/T RT01","On/Off Road","","","$207.90","",""
"Toyo","354160","Open Country R/T Trail","On/Off Road","$0.00","$70.49","$379.07","$457.41","$449.56"
"Road One","AR1040","Aethon M/T","Mud Terrain","","","$205.12","",""
"Nitto","218050","Recon Grappler A/T","All Terrain","$0.00","$44.00","$394.00","$465.00","$438.00"
"Kenda","601009","Klever R/T (KR601)","On/Off Road","$0.00","$18.33","$272.19","$344.47","$290.52"
"Mastercraft","175162018","Courser Trail RT","On/Off Road","","","$338.88","",""
"Sailun","1600641K","Terramax AT2","On/Off Road","","","$213.47","",""
"Atlas Tires","221026758","Paraller M/T","Mud Terrain","","","$194.29","",""
"ZEETEX","1200040379","MT1000","Mud Terrain","","","$197.04","",""
"Gladiator","1932250333","QR900-M/T","Off Road","$0.00","$0.85","$198.66","","$199.51"
"RBP","RBPSTRT20125010","Repulsor R/T","On/Off Road","","","$204.18","",""
"Armstrong","1200050562","Desert Dog MT","Mud Terrain","","","$209.29","",""
"Sailun","1600167K","Terramax RT","On/Off Road","$7.92","$0.00","$226.04","","$218.12"
"Ironman","98783","All Country MT-X","Mud Terrain","$2.94","$0.00","$231.00","","$228.06"
"Gladiator","1932360533","X Comp A/T","All Terrain","$9.30","$0.00","$236.36","","$227.06"
"Advanta","ADV3316","ATX-850","All Terrain","","","$237.00","",""
"Atturo","TBMT-LEJM2MA","Trail Blade M/T","Mud Terrain","$38.02","$0.00","$239.09","","$201.07"
"Predator","PR XAT25","New Mutant X-AT","All Terrain","","","$240.21","",""
"Advanta","ADV4319","RTX-850","On/Off Road","","","$243.00","",""
"Mastertrack","MASTRT011","Badlands RT","On/Off Road","","","$243.11","",""
"Multi-Mile","TCA88","Wild Country XTX AT4S (Trailcutter AT4S)","All Terrain","","","$244.77","",""
"Predator","PRRT01","New Mutant RT Trail","On/Off Road","","","$246.43","",""
"Mastertrack","MASTMT011","Badlands MT","Mud Terrain","","","$248.32","",""
"Predator","PR XMT11","New Mutant X-MT","Mud Terrain","","","$250.47","",""
"Predator","PR XMT12","New Mutant X-MT","Mud Terrain","","","$256.58","",""
"Gladiator","1932260334","X Comp M/T","Mud Terrain","$0.00","$8.90","$262.78","","$271.68"
"TBC","MTX02","Mud Claw Comp MTX","Mud Terrain","","","$264.87","",""
"CrossWind","MTR2804LL","M/T","Mud Terrain","","","$268.96","",""
"Kenda","629026","Klever M/T2 (KR629)","Mud Terrain","","","$295.43","$376.64",""
"Kumho","2290143","Road Venture AT52","All Terrain","$0.00","$16.01","$308.99","$363.58","$325.00"
"Nexen","18733","Roadian ATX","All Terrain","","","$320.01","",""
"Kumho","2368073","Road Venture RT51","On/Off Road","$0.00","$35.40","$343.60","","$379.00"
"Hankook","2021710","Dynapro AT2 Xtreme","All Terrain","$0.00","$26.69","$350.31","$416.99","$377.00"
"Falken","28757159","WildPeak R/T01","On/Off Road","$0.00","$83.99","$358.01","$452.00","$442.00"
"Yokohama","110101849","Geolandar A/T4 G018","All Terrain","$0.00","$69.99","$360.01","$429.99","$430.00"
"Nexen","16265","Roadian MTX","Mud Terrain","","","$360.67","",""
"Mickey Thompson","331010002","Baja Legend EXP","All Terrain","$0.00","$64.50","$362.51","","$427.01"
"Yokohama","110116017","Geolandar X-AT","All Terrain","$0.00","$52.00","$364.00","$480.99","$416.00"
"Yokohama","110116035","Geolandar X-AT","All Terrain","$0.00","$57.96","$367.04","$484.99","$425.00"
"Mickey Thompson","331010005","Baja Legend MTZ","Mud Terrain","$0.00","$69.41","$371.43","","$440.84"
"Cooper","170220007","Discoverer Rugged TREK","All Terrain","$0.00","$65.21","$371.79","$460.99","$437.00"
"Yokohama","110133332","Geolandar M/T G003","Mud Terrain","$0.00","$26.92","$374.08","$465.99","$401.00"
"Kumho","2262523","Road Venture MT71","Mud Terrain","$75.48","$0.00","$389.48","$427.90","$314.00"
"Hankook","2021384","Dynapro XT","On/Off Road","$2.96","$0.00","$391.96","$451.99","$389.00"
"General","04508130000","Grabber A/TX","All Terrain","$0.00","$44.00","$397.00","$449.99","$441.00"
"Toyo","360330","Open Country M/T","Mud Terrain","$0.00","$86.60","$398.77","$484.06","$485.37"
"Nitto","217-140","Ridge Grappler","All Terrain","","","$399.00","$487.00",""
"Yokohama","110117120","Geolandar A/T XD","All Terrain","$10.75","$0.00","$399.75","","$389.00"
"Pirelli","4624900","Scorpion XTM AT","All Terrain","$0.00","$63.00","$403.00","$459.29","$466.00"
"Toyo","355940","Open Country A/T III","All Terrain","$0.00","$82.70","$403.67","$485.77","$486.37"
"Yokohama","110133362","Geolandar M/T G003","Mud Terrain","$0.00","$63.59","$408.41","$471.99","$472.00"
"Hankook","2021409","Dynapro MT2","Mud Terrain","$0.00","$15.43","$409.07","$474.99","$424.50"
"Mickey Thompson","331010001","Baja Boss A/T","All Terrain","$0.00","$62.54","$410.31","","$472.85"
"Cooper","170230006","Discoverer STT PRO","Mud Terrain","$0.00","$50.10","$416.90","$464.99","$467.00"
"Toyo","358260","Open Country R/T Pro","On/Off Road","$0.00","$81.97","$417.03","$498.93","$499.00"
"Toyo","360830","Open Country M/T","Mud Terrain","$0.00","$73.73","$419.24","$511.69","$492.97"
"Nitto","200-680","Mud Grappler","Mud Terrain","","","$422.05","$504.00",""
"Nitto","205-590","Trail Grappler M/T","Mud Terrain","","","$426.88","$487.00",""
"Falken","28516906","WildPeak M/T","Off Road","$0.00","$51.51","$428.49","$480.00","$480.00"
"General","04506050000","Grabber X3","Mud Terrain","$0.00","$43.50","$432.50","$484.99","$476.00"
"Goodyear","753008002","Wrangler Boulder MT","Mud Terrain","$0.00","$33.01","$439.99","$496.99","$473.00"
"BFGoodrich","04929","All-Terrain T/A KO2","All Terrain","$0.00","$7.32","$454.56","$459.99","$461.88"
"Firestone","003813","Destination M/T2","Mud Terrain","$1.56","$0.00","$456.43","$465.99","$454.87"
"BFGoodrich","38937","Mud-Terrain T/A KM3","Mud Terrain","$0.00","$26.92","$464.33","$488.99","$491.25"
"Goodyear","312064142","Wrangler DuraTrac","All Terrain","","","$479.18","",""
"Goodyear","176313991","Wrangler DuraTrac RT LT","All Terrain","$49.79","$0.00","$482.04","$499.99","$432.25"
